,Author Name,Min CoAuthors,max CoAuthors,Average no of CoAuthors,Median CoAuthors
37732,krishnamurthy murali,2,2,2.0,2.0
37733,krishnamurthy s. raman,3,3,3.0,3.0
37734,krishnamurty muralidhar,3,3,3.0,3.0
37735,krishnan balakrishnan,6,6,6.0,6.0
37736,krishnan balasubramanian,3,4,3.5,3.5
37737,krishnan padmanabhan,1,2,1.2857143,1.0
37738,krishnan pillaipakkamnatt,2,2,2.0,2.0
37739,krishnan ramamurthy,5,5,5.0,5.0
37740,krishnan rangarajan,2,3,2.6,3.0
37741,krishnaprasad thirunarayan,1,2,1.25,1.0
37742,krishnaprasad v. kamisetty,2,2,2.0,2.0
37743,krishnaswami alladi,2,2,2.0,2.0
37744,krishnaswamy srinivasan,3,3,3.0,3.0
37745,krishnendu chakrabarty,2,2,2.0,2.0
37746,krishnendu chaudhury,2,2,2.0,2.0
37747,krishnendu mukhopadhyaya,3,3,3.0,3.0
37748,kriss a. schueller,2,2,2.0,2.0
37749,krist roginski,3,3,3.0,3.0
37750,krista rizman,1,2,1.5,1.5
37751,kristen m. kelleher,5,5,5.0,5.0
37752,krister dackland,3,4,3.5,3.5
37753,kristian fischer,2,2,2.0,2.0
37754,kristian g. olesen,1,5,2.6666667,2.0
37755,kristian j. hammond,2,4,2.6666667,2.0
37756,kristian kroschel,2,2,2.0,2.0
37757,kristian sandahl,1,1,1.0,1.0
37758,kristiina jokinen,1,1,1.0,1.0
37759,kristin a. farry,2,2,2.0,2.0
37760,kristin antelman,2,2,2.0,2.0
37761,kristin braa,3,3,3.0,3.0
37762,kristin g. bauersfeld,2,2,2.0,2.0
37763,kristin glass,3,4,3.3333333,3.0
37764,kristin m. allen,4,4,4.0,4.0
37765,kristin m. de meyer,4,4,4.0,4.0
37766,kristin p. bennett,2,3,2.5,2.5
37767,kristina d. miceli,7,7,7.0,7.0
37768,kristina hooper woolsey,1,1,1.0,1.0
37769,kristina höök,3,3,3.0,3.0
37770,kristina lundqvist,4,4,4.0,4.0
37771,kristina m. johnson,2,2,2.0,2.0
37772,kristina schädler,2,2,2.0,2.0
37773,kristina woolsey,2,2,2.0,2.0
37774,kristine d. saracelli,2,2,2.0,2.0
37775,kristine stougaard thomsen,1,1,1.0,1.0
37776,kristinn r. thórisson,1,3,1.75,1.5
37777,kristján jónasson,1,1,1.0,1.0
37778,kristof verschaetse,2,2,2.0,2.0
37779,krithi ramamritham,1,7,3.2666667,3.0
37780,krste asanovic,3,5,3.6666667,3.0
37781,krys j. kochut,2,2,2.0,2.0
37782,krys kochut,2,5,3.75,4.0
37783,krysia broda,1,6,3.5,3.5
37784,krystian mikolajczyk,3,3,3.0,3.0
37785,krystyna t. balinska,2,2,2.0,2.0
37786,krzysztof a. sikorski,4,4,4.0,4.0
37787,krzysztof c. kiwiel,1,1,1.0,1.0
37788,krzysztof diks,2,6,3.25,3.0
37789,krzysztof dudzinski,1,1,1.0,1.0
37790,krzysztof franaszczuk,4,4,4.0,4.0
37791,krzysztof galkowski,1,1,1.0,1.0
37792,krzysztof j. cios,3,3,3.0,3.0
37793,krzysztof jasinski,3,3,3.0,3.0
37794,krzysztof kolodziejczyk,1,1,1.0,1.0
37795,krzysztof koodziejczyk,1,1,1.0,1.0
37796,krzysztof kozlowski,1,1,1.0,1.0
37797,krzysztof kozminski,1,3,2.3333333,3.0
37798,krzysztof krawiec,5,5,5.0,5.0
37799,krzysztof kuchcinski,1,3,2.0,2.0
37800,krzysztof marasek,1,1,1.0,1.0
37801,krzysztof nowicki 0001,3,3,3.0,3.0
37802,krzysztof ostaszewski,3,3,3.0,3.0
37803,krzysztof p. jankowski,2,3,2.75,3.0
37804,krzysztof pienkosz,2,2,2.0,2.0
37805,krzysztof r. apt,1,7,2.4,2.0
37806,krzysztof slowinski,2,2,2.0,2.0
37807,krzysztof tchon,1,2,1.5,1.5
37808,krzysztof wawryn,1,1,1.0,1.0
37809,krzysztof zielenski,2,2,2.0,2.0
37810,krzysztof zielinski,2,5,3.25,3.0
37811,kshirasagar naik,2,2,2.0,2.0
37812,kuan-jen lin,2,2,2.0,2.0
37813,kuan-teck chang,3,3,3.0,3.0
37814,kuan-tsae huang,1,4,2.8333333,3.0
37815,kuang tsai,2,2,2.0,2.0
37816,kuang-chien chen,1,4,2.8,3.0
37817,kuang-fu han,5,5,5.0,5.0
37818,kuang-hua chen,2,2,2.0,2.0
37819,kuang-yow lian,3,3,3.0,3.0
37820,kuansan wang,3,3,3.0,3.0
37821,kuei-ann wen,3,3,3.0,3.0
37822,kuen-ching lee,3,3,3.0,3.0
37823,kuen-jong lee,2,2,2.0,2.0
37824,kuen-rong hsieh,2,4,3.3333333,4.0
37825,kuen-tsair lay,2,3,2.5,2.5
37826,kui w. mok,5,5,5.0,5.0
37827,kuiyuan li,2,2,2.0,2.0
37828,kuldeep kumar,3,5,4.0,4.0
37829,kuldip k. paliwal,1,4,2.3333333,2.0
37830,kuldip s. rattan,3,3,3.0,3.0
37831,kuldip singh,4,4,4.0,4.0
37832,kum-yew lai,2,2,2.0,2.0
37833,kumar balachandran,4,4,4.0,4.0
37834,kumar joag-dev,1,1,1.0,1.0
37835,kumar k. goswami,2,3,2.25,2.0
37836,kumar n. ganapathy,2,2,2.0,2.0
37837,kumar n. lalgudi,3,3,3.0,3.0
37838,kumar n. sivarajan,2,3,2.5,2.5
37839,kumar nambi,2,2,2.0,2.0
37840,kumar ramachandran,5,5,5.0,5.0
37841,kumar ramaiyer,2,2,2.0,2.0
37842,kumar s. ray,2,2,2.0,2.0
37843,kumar sankar ray,2,2,2.0,2.0
37844,kumar v. peddanarappagari,2,3,2.5,2.5
37845,kumar v. vadaparty,1,4,2.6666667,3.0
37846,kumar venkat,1,1,1.0,1.0
37847,kumiko itoh,5,5,5.0,5.0
37848,kumiko nakagawa,4,4,4.0,4.0
37849,kumiyo nakakoji,1,5,3.25,3.5
37850,kumpati s. narendra,2,2,2.0,2.0
37851,kumud mittal,2,2,2.0,2.0
37852,kun li,4,4,4.0,4.0
37853,kun qian,3,3,3.0,3.0
37854,kun sun,2,2,2.0,2.0
37855,kun-jen chung,2,2,2.0,2.0
37856,kun-jin lin,2,2,2.0,2.0
37857,kun-lung wu,2,5,3.4285714999999994,3.0
37858,kun-mao chao,3,3,3.0,3.0
37859,kun-shan chen,3,3,3.0,3.0
37860,kung chris wu,1,1,1.0,1.0
37861,kung yao,2,4,2.75,2.5
37862,kung-hau ding,2,2,2.0,2.0
37863,kung-kiu lau,1,2,1.8,2.0
37864,kung-wei yang,1,1,1.0,1.0
37865,kuniaki takizawa,3,3,3.0,3.0
37866,kuniaki uehara,3,3,3.0,3.0
37867,kunibert g. siebert,1,1,1.0,1.0
37868,kuniharu arai,3,3,3.0,3.0
37869,kuniharu kishida,3,3,3.0,3.0
37870,kuniharu takayama,2,2,2.0,2.0
37871,kunihiko fukushima,1,2,1.6,2.0
37872,kunihiko hiraishi,4,4,4.0,4.0
37873,kunihiko kaneko,3,4,3.5,3.5
37874,kunihiko owa,9,9,9.0,9.0
37875,kunihiko shishida,4,4,4.0,4.0
37876,kuniji asano,5,5,5.0,5.0
37877,kunikatsu takase,2,8,4.2,3.0
37878,kunio aizawa,2,2,2.0,2.0
37879,kunio doi,5,5,5.0,5.0
37880,kunio fukunaga,4,4,4.0,4.0
37881,kunio iwata,3,3,3.0,3.0
37882,kunio kamimura,2,2,2.0,2.0
37883,kunio kashino,2,2,2.0,2.0
37884,kunio kondo,4,4,4.0,4.0
37885,kunio nakajima,2,3,2.3333333,2.0
37886,kunio tanabe,5,5,5.0,5.0
37887,kunio uchiyama,4,9,6.5,6.5
37888,kunio yamane,7,7,7.0,7.0
37889,kunito hoshi,2,2,2.0,2.0
37890,kunitoshi tsuruoka,1,2,1.5,1.5
37891,kuniyasu suzaki,4,4,4.0,4.0
37892,kunle olukotun,3,9,6.0,6.0
37893,kunsoo park,3,8,4.6666665,3.0
37894,kuntal sengupta,2,2,2.0,2.0
37895,kunwarjit s. bagga,2,4,3.0,3.0
37896,kunwoo lee,3,3,3.0,3.0
37897,kuo chi lee,3,21,7.333333500000001,4.0
37898,kuo chu lee,3,3,3.0,3.0
37899,kuo chun lee,2,3,2.75,3.0
37900,kuo j. r. liu,4,4,4.0,4.0
37901,kuo wenyin,4,4,4.0,4.0
37902,kuo-chi lin,2,3,2.5,2.5
37903,kuo-chiang chuang,3,3,3.0,3.0
37904,kuo-chin fan,2,3,2.75,3.0
37905,kuo-ching huang,3,3,3.0,3.0
37906,kuo-chu chang,2,2,2.0,2.0
37907,kuo-chung tai,1,4,2.3333333,2.0
37908,kuo-en chang,1,4,2.5,2.5
37909,kuo-feng liao,2,2,2.0,2.0
37910,kuo-hsiang chen,2,2,2.0,2.0
37911,kuo-hui tsai,2,2,2.0,2.0
37912,kuo-lane chen,4,4,4.0,4.0
37913,kuo-liang chung,2,4,2.6666667,2.0
37914,kuo-sen chou,6,6,6.0,6.0
37915,kuo-shien yeh,2,2,2.0,2.0
37916,kuo-tung sun,2,2,2.0,2.0
37917,kuo-wei huang,2,2,2.0,2.0
37918,kuo-wei hwang,3,4,3.3333333,3.0
37919,kuo-yang lin,2,2,2.0,2.0
37920,kuo-yang tu,2,2,2.0,2.0
37921,kuowei li,2,2,2.0,2.0
37922,kurapati venkatesh,3,3,3.0,3.0
37923,kurd alsleben,1,1,1.0,1.0
37924,kuriacose joseph,2,4,3.25,3.5
37925,kurt a. milne,1,1,1.0,1.0
37926,kurt a. shoens,5,5,5.0,5.0
37927,kurt akeley,1,1,1.0,1.0
37928,kurt ammon,1,1,1.0,1.0
37929,kurt antreich,2,4,2.75,2.5
37930,kurt c. wallnau,3,3,3.0,3.0
37931,kurt dirk bettenhausen,1,1,1.0,1.0
37932,kurt dobbins,3,3,3.0,3.0
37933,kurt e. hecox,3,3,3.0,3.0
37934,kurt eberle,1,1,1.0,1.0
37935,kurt englmeier,1,1,1.0,1.0
37936,kurt f. bandat,2,2,2.0,2.0
37937,kurt fedra,1,1,1.0,1.0
37938,kurt geihs,1,5,2.4,2.0
37939,kurt georg,1,2,1.5,1.5
37940,kurt godden,1,4,2.5,2.5
37941,kurt h. thearling,5,5,5.0,5.0
37942,kurt hornik,1,3,1.75,1.5
37943,kurt j. hebel,1,2,1.5,1.5
37944,kurt jensen,1,1,1.0,1.0
37945,kurt jetter,1,1,1.0,1.0
37946,kurt jogun,3,3,3.0,3.0
37947,kurt jörnsten,2,2,2.0,2.0
37948,kurt kancler,5,5,5.0,5.0
37949,kurt katzeff,3,3,3.0,3.0
37950,kurt keutzer,1,4,2.8095237999999996,3.0
37951,kurt konolige,1,8,3.625,3.0
37952,kurt kosanke,4,4,4.0,4.0
37953,kurt kreith,1,1,1.0,1.0
37954,kurt lautenbach,2,2,2.0,2.0
37955,kurt m. anstreicher,1,4,1.8571428,2.0
37956,kurt m. gutzmann,3,3,3.0,3.0
37957,kurt m. marshek,2,2,2.0,2.0
37958,kurt m. neuman,4,4,4.0,4.0
37959,kurt m. olender,2,2,2.0,2.0
37960,kurt maly,3,6,4.75,5.0
37961,kurt marti,1,1,1.0,1.0
37962,kurt mehlhorn,2,4,3.1538463,3.0
37963,kurt monse,2,2,2.0,2.0
37964,kurt nägele,1,1,1.0,1.0
37965,kurt p. brown,3,3,3.0,3.0
37966,kurt p. eiselt,2,6,3.6666667,3.0
37967,kurt p. judmann,1,1,1.0,1.0
37968,kurt plasser,1,1,1.0,1.0
37969,kurt r. linberg,1,1,1.0,1.0
37970,kurt r. smith,4,4,4.0,4.0
37971,kurt rehfuss,3,3,3.0,3.0
37972,kurt reinhardt,1,1,1.0,1.0
37973,kurt richard vogel,1,1,1.0,1.0
37974,kurt rothermel,1,3,1.8,2.0
37975,kurt s. riedel,1,2,1.3333334,1.0
37976,kurt schneider,1,2,1.3333334,1.0
37977,kurt servatius,1,1,1.0,1.0
37978,kurt sieber,1,1,1.0,1.0
37979,kurt siegl,1,1,1.0,1.0
37980,kurt stenzel,2,6,4.0,4.0
37981,kurt stirewalt,3,6,4.5,4.5
37982,kurt sundermeyer,1,34,7.333333500000001,2.0
37983,kurt swanson,1,1,1.0,1.0
37984,kurt vanlehn,1,5,2.4,2.0
37985,kurt w. fleischer,3,5,4.0,4.0
37986,kurt wengenroth,2,2,2.0,2.0
37987,kurt-ulrich witt,1,2,1.6666666,2.0
37988,kurtis j. guth,2,2,2.0,2.0
37989,kurtis keller,3,3,3.0,3.0
37990,kurtis t. johnson,3,3,3.0,3.0
37991,kurtiss j. gordon,6,6,6.0,6.0
37992,kuu-young young,3,3,3.0,3.0
37993,kwabena boahen,2,6,4.0,4.0
37994,kwae-hi lee,3,3,3.0,3.0
37995,kwaku frimpong-ansah,5,5,5.0,5.0
37996,kwan auyeung,3,3,3.0,3.0
37997,kwan f. cheung,2,2,2.0,2.0
37998,kwan tjia,3,3,3.0,3.0
37999,kwan woo ryu,2,2,2.0,2.0
38000,kwan-hee lee,3,3,3.0,3.0
38001,kwan-hee you,5,5,5.0,5.0
38002,kwan-liu ma,2,3,2.25,2.0
38003,kwang j. cho,2,2,2.0,2.0
38004,kwang june byeon,2,2,2.0,2.0
38005,kwang kyu park,3,3,3.0,3.0
38006,kwang rip hyun,5,5,5.0,5.0
38007,kwang seok lee,1,1,1.0,1.0
38008,kwang shin,2,2,2.0,2.0
38009,kwang soo chang,6,6,6.0,6.0
38010,kwang yub lee,4,4,4.0,4.0
38011,kwang-bae kim,3,4,3.5,3.5
38012,kwang-moo choe,2,3,2.5555556,3.0
38013,kwang-soo kim,5,5,5.0,5.0
38014,kwang-ting (tim) cheng,2,2,2.0,2.0
38015,kwang-ting cheng,1,3,1.9230769,2.0
38016,kwang-ya fang,4,4,4.0,4.0
38017,kwanghee nam,3,3,3.0,3.0
38018,kwanghyun kim,3,3,3.0,3.0
38019,kwangjo kim,1,1,1.0,1.0
38020,kwangjoon rhee,7,7,7.0,7.0
38021,kwangkeun yi,2,2,2.0,2.0
38022,kwangsoo ko,2,2,2.0,2.0
38023,kwangyoen wohn,2,3,2.3333333,2.0
38024,kwangyun wohn,2,2,2.0,2.0
38025,kwasi amoako-gyampah,2,2,2.0,2.0
38026,kwee heong tan,3,3,3.0,3.0
38027,kwee-bo sim,4,4,4.0,4.0
38028,kwei tu,3,3,3.0,3.0
38029,kwei-jay lin,1,6,2.2857144,2.0
38030,kweku ewusi-mensah,2,2,2.0,2.0
38031,kwok h. li,2,2,2.0,2.0
38032,kwok kee wei,3,3,3.0,3.0
38033,kwok w. wu,4,4,4.0,4.0
38034,kwok-bun yue,1,2,1.5,1.5
38035,kwok-keung yum,2,2,2.0,2.0
38036,kwok-shing leung,2,3,2.5,2.5
38037,kwok-tong chau,4,4,4.0,4.0
38038,kwok-tung lo,2,2,2.0,2.0
38039,kwok-wai tam,2,2,2.0,2.0
38040,kwok-yan lam,1,2,1.3333334,1.0
38041,kwong-fai chan,2,2,2.0,2.0
38042,kwong-sak leung,2,2,2.0,2.0
38043,kychin hwang,2,2,2.0,2.0
38044,kye hyun kim,4,4,4.0,4.0
38045,kye young lim,3,3,3.0,3.0
38046,kye-hwan oh,5,5,5.0,5.0
38047,kyeong ho yang,3,3,3.0,3.0
38048,kyeong-hoon jung,3,3,3.0,3.0
38049,kyeongcheol yang,2,2,2.0,2.0
38050,kyhyun um,3,3,3.0,3.0
38051,kyle a. gallivan,3,22,7.0,4.0
38052,kyle c. mcdonald,3,3,3.0,3.0
38053,kyle g. welch,4,4,4.0,4.0
38054,kyle j. myers,5,5,5.0,5.0
38055,kyle mcdonald,9,9,9.0,9.0
38056,kyle siegrist,3,3,3.0,3.0
38057,kyle smith,2,2,2.0,2.0
38058,kyle wheeler,4,4,4.0,4.0
38059,kyoichi izumi,5,5,5.0,5.0
38060,kyoichi kijima,1,1,1.0,1.0
38061,kyoichi nakashima,3,3,3.0,3.0
38062,kyoichi tatsuno,5,6,5.2,5.0
38063,kyoji hirata,3,4,3.5,3.5
38064,kyoji kawagoe,1,1,1.0,1.0
38065,kyoji umemura,1,3,2.0,2.0
38066,kyoki imamura,2,2,2.0,2.0
38067,kyoko miyazaki,3,3,3.0,3.0
38068,kyoko takiguchi,5,5,5.0,5.0
38069,kyoko tsukano,3,3,3.0,3.0
38070,kyong gi kim,3,3,3.0,3.0
38071,kyoo jeong lee,2,2,2.0,2.0
38072,kyoon ha lee,3,3,3.0,3.0
38073,kyorich tatsuno,5,5,5.0,5.0
38074,kyoung chul koh,2,2,2.0,2.0
38075,kyoung i. kim,1,1,1.0,1.0
38076,kyoung mu lee,2,2,2.0,2.0
38077,kyoung tai no,4,4,4.0,4.0
38078,kyriacos zygourakis,2,2,2.0,2.0
38079,kyriaki labropoulou,2,2,2.0,2.0
38080,kyriaki vagges,4,4,4.0,4.0
38081,kyriakos keremedis,1,1,1.0,1.0
38082,kyriakos kilakos,2,2,2.0,2.0
38083,kyriakos kontostathis,1,1,1.0,1.0
38084,kyriakos n. sgarbas,3,3,3.0,3.0
38085,kyriakos tsiflakos,2,2,2.0,2.0
38086,kyrre strøm,1,1,1.0,1.0
38087,kyu ho park,3,3,3.0,3.0
38088,kyu lim,5,5,5.0,5.0
38089,kyu sung park,5,8,6.5,6.5
38090,kyu-ho park,3,3,3.0,3.0
38091,kyu-young whang,1,4,2.4,2.0
38092,kyuchull kim,2,2,2.0,2.0
38093,kyugon cho,2,2,2.0,2.0
38094,kyung kyu kim,2,2,2.0,2.0
38095,kyung ook lee,2,2,2.0,2.0
38096,kyung s. ham,3,3,3.0,3.0
38097,kyung-chang kim,1,3,2.0,2.0
38098,kyung-goo doh,2,2,2.0,2.0
38099,kyung-ho kim,4,5,4.5,4.5
38100,kyung-il bang,3,3,3.0,3.0
38101,kyung-jo park,2,2,2.0,2.0
38102,kyung-soo oh,2,2,2.0,2.0
38103,kyung-whan oh,2,2,2.0,2.0
38104,kyung-yong chwa,2,4,3.0,3.0
38105,kyunghwan kim,1,1,1.0,1.0
38106,kyungjin kim,4,4,4.0,4.0
38107,kyungsook han,2,2,2.0,2.0
38108,kyungsook kim,2,2,2.0,2.0
38109,kyungsook y. lee,2,4,2.6666667,2.5
38110,kyungwhoon cheun,2,2,2.0,2.0
38111,kyunrak chong,2,2,2.0,2.0
38112,kyuseok shim,2,2,2.0,2.0
38113,kyösti rautiola,4,4,4.0,4.0
38114,kyösti tarvainen,3,3,3.0,3.0
38115,károly böröczky,3,3,3.0,3.0
38116,károly f. pál,1,1,1.0,1.0
38117,károly farkas,1,1,1.0,1.0
38118,károly tilly,3,3,3.0,3.0
38119,kären wieckert,3,3,3.0,3.0
38120,käthe trettin,1,1,1.0,1.0
38121,kô sakai,2,4,3.0,3.0
38122,kôiti hasida,3,3,3.0,3.0
38123,kültegin aydin,2,2,2.0,2.0
38124,l. a. bowman,3,3,3.0,3.0
38125,l. a. chagrova,1,1,1.0,1.0
38126,l. a. de andré,2,5,3.5,3.5
38127,l. a. f. m. ferreira,1,1,1.0,1.0
38128,l. a. hayman,4,4,4.0,4.0
38129,l. a. murphy,5,5,5.0,5.0
38130,l. a. ray,3,3,3.0,3.0
38131,l. a. rogers,2,2,2.0,2.0
38132,l. a. snider,3,3,3.0,3.0
38133,l. a. winsborrow,2,2,2.0,2.0
38134,l. aguilar,4,4,4.0,4.0
38135,l. alonso,5,5,5.0,5.0
38136,l. alonso-vallès,5,7,5.6666665,5.0
38137,l. anne breene,1,2,1.5,1.5
38138,l. b. kovács,1,1,1.0,1.0
38139,l. babej,2,2,2.0,2.0
38140,l. baeza,4,4,4.0,4.0
38141,l. balcza,1,1,1.0,1.0
38142,l. barberis,4,4,4.0,4.0
38143,l. barella,4,4,4.0,4.0
38144,l. barengo,6,6,6.0,6.0
38145,l. battiston,3,3,3.0,3.0
38146,l. berben,5,5,5.0,5.0
38147,l. berkovich,3,3,3.0,3.0
38148,l. beth protsko,4,4,4.0,4.0
38149,l. biran,2,2,2.0,2.0
38150,l. bowns,2,2,2.0,2.0
38151,l. brange,6,6,6.0,6.0
38152,l. bregman,2,2,2.0,2.0
38153,l. brodin,6,6,6.0,6.0
38154,l. bruce richmond,2,4,3.0,3.0
38155,l. brunessaux,1,3,2.0,2.0
38156,l. brutman,1,1,1.0,1.0
38157,l. c. barbosa,4,4,4.0,4.0
38158,l. c. lin,3,3,3.0,3.0
38159,l. c. shih,3,3,3.0,3.0
38160,l. c. w. dixon,1,1,1.0,1.0
38161,l. c. waring,2,2,2.0,2.0
38162,l. c. young,2,2,2.0,2.0
38163,l. c. zhao,3,3,3.0,3.0
38164,l. cai,2,2,2.0,2.0
38165,l. cardona,3,3,3.0,3.0
38166,l. chan,5,5,5.0,5.0
38167,l. chang,4,4,4.0,4.0
38168,l. chen,4,4,4.0,4.0
38169,l. chitaro,2,2,2.0,2.0
38170,l. ciancarella,6,6,6.0,6.0
38171,l. cognard,4,4,4.0,4.0
38172,l. cormell,16,16,16.0,16.0
38173,l. croes,6,6,6.0,6.0
38174,l. d'haenens,2,2,2.0,2.0
38175,l. d. davis,4,4,4.0,4.0
38176,l. d. etkin,1,1,1.0,1.0
38177,l. d. j. c. loyens,3,3,3.0,3.0
38178,l. d. muu,3,3,3.0,3.0
38179,l. d. nel,1,1,1.0,1.0
38180,l. d. nelson,9,9,9.0,9.0
38181,l. d. schmadel,2,2,2.0,2.0
38182,l. dabrowski,1,1,1.0,1.0
38183,l. darrell whitley,1,5,2.375,2.0
38184,l. de vos,2,2,2.0,2.0
38185,l. del buono,40,40,40.0,40.0
38186,l. demling,5,5,5.0,5.0
38187,l. denenberg,7,7,7.0,7.0
38188,l. dennis farmer,2,2,2.0,2.0
38189,l. derobertis,2,2,2.0,2.0
38190,l. doan-minh,5,5,5.0,5.0
38191,l. douglas smith,3,3,3.0,3.0
38192,l. e. davids,3,3,3.0,3.0
38193,l. e. grosbach,2,2,2.0,2.0
38194,l. e. price,16,16,16.0,16.0
38195,l. e. toran,7,7,7.0,7.0
38196,l. e. zeidner,1,1,1.0,1.0
38197,l. edwin mckenzie,2,3,2.5,2.5
38198,l. esposito,3,3,3.0,3.0
38199,l. esteva,2,2,2.0,2.0
38200,l. eudeline,5,5,5.0,5.0
38201,l. f. abbott,2,3,2.5,2.5
38202,l. f. g. g. m. ridolfi,4,4,4.0,4.0
38203,l. f. marshall,1,1,1.0,1.0
38204,l. f. pau,1,3,2.0,2.0
38205,l. f. saunders,3,3,3.0,3.0
38206,l. f. truett,5,5,5.0,5.0
38207,l. f. turner,2,2,2.0,2.0
38208,l. f. willems,2,2,2.0,2.0
38209,l. f. yeung,1,1,1.0,1.0
38210,l. feldmann,5,5,5.0,5.0
38211,l. fournier,2,2,2.0,2.0
38212,l. fusco,7,7,7.0,7.0
38213,l. g. ferreira,3,3,3.0,3.0
38214,l. g. lawrence,1,1,1.0,1.0
38215,l. g. van willigenburg,1,1,1.0,1.0
38216,l. gacôgne,1,1,1.0,1.0
38217,l. gavi,3,3,3.0,3.0
38218,l. gleason,5,5,5.0,5.0
38219,l. goebels,3,3,3.0,3.0
38220,l. gotusso,3,3,3.0,3.0
38221,l. grant lesoine,2,2,2.0,2.0
38222,l. gruenwald,1,1,1.0,1.0
38223,l. gunaseelan,2,2,2.0,2.0
38224,l. guo,3,3,3.0,3.0
38225,l. gálvez,3,3,3.0,3.0
38226,l. h. campbell,2,2,2.0,2.0
38227,l. h. geesink,1,1,1.0,1.0
38228,l. h. harper,1,1,1.0,1.0
38229,l. h. lau,3,3,3.0,3.0
38230,l. h. li,2,2,2.0,2.0
38231,l. harbird,2,2,2.0,2.0
38232,l. hayes,2,2,2.0,2.0
38233,l. haynes,2,2,2.0,2.0
38234,l. hedman,5,5,5.0,5.0
38235,l. hennighausen,2,2,2.0,2.0
38236,l. heusler,3,6,4.5,4.5
38237,l. hotz,2,2,2.0,2.0
38238,l. howard pollard,2,2,2.0,2.0
38239,l. huang,2,2,2.0,2.0
38240,l. husheng,1,1,1.0,1.0
38241,l. i. nagornaya,5,5,5.0,5.0
38242,l. i. ponomarev,6,6,6.0,6.0
38243,l. j. bechtel,6,6,6.0,6.0
38244,l. j. guggenheim,2,2,2.0,2.0
38245,l. j. haravu,2,2,2.0,2.0
38246,l. j. j. van der bruggen,3,3,3.0,3.0
38247,l. j. randall,2,2,2.0,2.0
38248,l. j. roe,3,3,3.0,3.0
38249,l. j. schaefer,2,2,2.0,2.0
38250,l. j. shea,4,4,4.0,4.0
38251,l. j. steggles,2,2,2.0,2.0
38252,l. j. teunissen,4,4,4.0,4.0
38253,l. j. tsipouri,1,1,1.0,1.0
38254,l. jódar,3,3,3.0,3.0
38255,l. k. pande,3,3,3.0,3.0
38256,l. k. s. a. aye,3,3,3.0,3.0
38257,l. k. venkatesh,3,3,3.0,3.0
38258,l. kafka,4,4,4.0,4.0
38259,l. karl brenting,1,1,1.0,1.0
38260,l. kauc,4,4,4.0,4.0
38261,l. kemayel,3,3,3.0,3.0
38262,l. kervella,3,3,3.0,3.0
38263,l. kling,4,4,4.0,4.0
38264,l. köhler,3,3,3.0,3.0
38265,l. l. campbell,1,1,1.0,1.0
38266,l. l. howard,5,5,5.0,5.0
38267,l. l. li,10,10,10.0,10.0
38268,l. l. stockbridge,3,3,3.0,3.0
38269,l. lambe,1,1,1.0,1.0
38270,l. leblanc,5,5,5.0,5.0
38271,l. leguizamon,3,3,3.0,3.0
38272,l. lemarchand,4,4,4.0,4.0
38273,l. lemesle-varloot,8,8,8.0,8.0
38274,l. leslie gardner,3,3,3.0,3.0
38275,l. lihua,2,2,2.0,2.0
38276,l. liming,2,2,2.0,2.0
38277,l. lorne campbell,3,3,3.0,3.0
38278,l. lucas,10,10,10.0,10.0
38279,l. lukashuk,2,2,2.0,2.0
38280,l. m. du toit,2,2,2.0,2.0
38281,l. m. koci,1,1,1.0,1.0
38282,l. m. murphy,3,3,3.0,3.0
38283,l. m. naven,7,7,7.0,7.0
38284,l. m. staggenborg,9,9,9.0,9.0
38285,l. m. tewari,3,3,3.0,3.0
38286,l. m. v. g. pinto,2,2,2.0,2.0
38287,l. malcolm,3,3,3.0,3.0
38288,l. marletta,4,4,4.0,4.0
38289,l. martinez,5,5,5.0,5.0
38290,l. massimo,1,3,2.0,2.0
38291,l. maugis,3,3,3.0,3.0
38292,l. mazzola,4,4,4.0,4.0
38293,l. mcqueen,5,5,5.0,5.0
38294,l. merlo,4,4,4.0,4.0
38295,l. miller,5,5,5.0,5.0
38296,l. mills,4,4,4.0,4.0
38297,l. mortamet,1,1,1.0,1.0
38298,l. mussio,3,3,3.0,3.0
38299,l. n. wiffen,2,2,2.0,2.0
38300,l. nancy garrett,3,3,3.0,3.0
38301,l. nardone,6,6,6.0,6.0
38302,l. neal,3,3,3.0,3.0
38303,l. nelson,4,4,4.0,4.0
38304,l. niem,4,4,4.0,4.0
38305,l. nilsen,3,3,3.0,3.0
38306,l. o. p. picorelli,3,3,3.0,3.0
38307,l. oberhammer,6,6,6.0,6.0
38308,l. ottaviano,3,3,3.0,3.0
38309,l. p. m. benders,2,2,2.0,2.0
38310,l. p. orwig,4,4,4.0,4.0
38311,l. p. s. singh,3,3,3.0,3.0
38312,l. p. shil'nikov,1,1,1.0,1.0
38313,l. paul chew,1,6,3.0,2.0
38314,l. paul fertig,7,7,7.0,7.0
38315,l. peeva,1,1,1.0,1.0
38316,l. pereira leite,5,5,5.0,5.0
38317,l. peter deutsch,1,4,2.5,2.5
38318,l. pham,4,4,4.0,4.0
38319,l. pichetti,18,18,18.0,18.0
38320,l. pinto simoes,3,3,3.0,3.0
38321,l. po,3,3,3.0,3.0
38322,l. pong,2,2,2.0,2.0
38323,l. prilly,15,15,15.0,15.0
38324,l. q. zou,3,3,3.0,3.0
